IYEAR,NAME,OPERATOR_CITY_NAME,OPERATOR_STATE_ABBREVIATION,LOCATION_LATITUDE,LOCATION_LONGITUDE,COMMODITY_RELEASED_TYPE,UNINTENTIONAL_RELEASE_BBLS,INTENTIONAL_RELEASE_BBLS,RECOVERED_BBLS,FATALITY_IND,FATAL,INJURY_IND,INJURE,SHUTDOWN_DUE_ACCIDENT_IND,MATERIAL_INVOLVED,RELEASE_TYPE,LEAK_TYPE
2021,ENTERPRISE CRUDE PIPELINE LLC,HOUSTON,TX,28.94625,-95.42365,CRUDE OIL,1.5,,1.5,NO,,NO,,NO,CARBON STEEL,LEAK,OTHER
2021,PERMIAN EXPRESS PARTNERS LLC,HOUSTON,TX,29.989279,-94.002547,CRUDE OIL,4,,4,NO,,NO,,YES,CARBON STEEL,LEAK,SEAL OR PACKING
2021,"ROSE ROCK MIDSTREAM OPERATING, LLC",HOUSTON,TX,35.927207,-96.760283,CRUDE OIL,0.5,,0.5,NO,,NO,,YES,2021,RUBBER,
2021,EXXONMOBIL PIPELINE CO,SPRING,TX,29.8431583,-95.2308028,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,640,,50,NO,,NO,,YES,CARBON STEEL,RUPTURE,
2021,"DELEK CRUDE LOGISTICS, LLC.",DALLAS,TX,32.47973,-94.83668,CRUDE OIL,15,,15,NO,,NO,,YES,CARBON STEEL,OVERFILL OR OVERFLOW,
2021,ENTERPRISE PRODUCTS OPERATING LLC,HOUSTON,TX,36.182675,-102.05046,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,5,1,0,NO,,NO,,YES,MATERIAL OTHER THAN CARBON STEEL,LEAK,SEAL OR PACKING
2021,"MAGELLAN CRUDE OIL PIPELINE COMPANY, L.P.",TULSA,OK,29.797146,-95.279005,CRUDE OIL,0.95,,0.95,NO,,NO,,NO,MATERIAL OTHER THAN CARBON STEEL,LEAK,SEAL OR PACKING
2021,"MEDALLION OPERATING COMPANY, LLC",IRVING,TX,31.85689,-101.430095,CRUDE OIL,8,,8,NO,,NO,,NO,CARBON STEEL,LEAK,SEAL OR PACKING
2021,SUNOCO PARTNERS MARKETING & TERMINALS LP,HOUSTON,TX,29.992544,-93.992222,CRUDE OIL,0.5,,0.5,NO,,NO,,NO,CARBON STEEL,OTHER,
2021,TORRANCE PIPELINE COMPANY LLC,PARSIPPANY,NJ,33.804229,-118.28371,CRUDE OIL,1,,1,NO,,NO,,NO,CARBON STEEL,LEAK,PINHOLE
2021,PHILLIPS 66 PIPELINE LLC,HOUSTON,TX,29.7188,-95.17722,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,0.9,,0.9,NO,,NO,,YES,CARBON STEEL,LEAK,OTHER
2021,DCP MIDSTREAM,DENVER,CO,29.133392,-95.803825,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,11,22.5,0,NO,,NO,,YES,MATERIAL OTHER THAN CARBON STEEL,LEAK,SEAL OR PACKING
2021,ENTERPRISE CRUDE PIPELINE LLC,HOUSTON,TX,31.4331,-102.4379,CRUDE OIL,0.24,,0.24,NO,,NO,,YES,CARBON STEEL,LEAK,SEAL OR PACKING
