Year,total,Biofuel/Alternative Fuel,CO2,Crude,HVL,Refined Petroleum
2010,350,0.00,1.71,44.57,18.00,35.71
2011,344,0.00,1.16,42.44,20.64,35.76
2012,366,0.00,0.55,51.64,11.20,36.61
2013,400,0.00,1.25,51.25,14.25,33.25
2014,455,0.22,1.10,52.97,10.99,34.73
2015,460,0.00,1.52,55.87,13.70,28.91
2016,420,0.24,2.14,48.57,17.14,31.90
2017,415,0.00,2.17,50.12,18.31,29.40
2018,405,0.49,1.23,54.57,16.54,27.16
2019,384,0.00,1.04,51.30,17.19,30.47
2020,333,0.30,1.80,49.85,19.22,28.83
2021,158,0.00,0.63,55.70,12.03,31.65
