,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,AK,1.0,1.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0
1,AL,1.0,2.0,2.0,3.0,2.0,2.0,8.0,3.0,2.0,1.0,3.0,1.0
2,AR,1.0,1.0,1.0,4.0,3.0,1.0,2.0,2.0,4.0,2.0,6.0,1.0
3,CA,15.0,24.0,22.0,17.0,28.0,25.0,23.0,19.0,17.0,21.0,18.0,10.0
4,CO,3.0,1.0,2.0,2.0,8.0,4.0,4.0,7.0,4.0,7.0,5.0,0.0
5,CT,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,FL,1.0,1.0,1.0,0.0,3.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0
7,GA,2.0,2.0,3.0,4.0,3.0,1.0,2.0,1.0,3.0,1.0,2.0,0.0
8,HI,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0
9,IA,8.0,10.0,6.0,11.0,4.0,2.0,5.0,4.0,2.0,3.0,4.0,2.0
10,ID,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0
11,IL,17.0,20.0,18.0,14.0,17.0,14.0,8.0,21.0,9.0,16.0,13.0,3.0
12,IN,6.0,5.0,6.0,10.0,15.0,8.0,8.0,9.0,8.0,6.0,4.0,0.0
13,KS,31.0,19.0,22.0,22.0,26.0,14.0,17.0,11.0,16.0,12.0,12.0,0.0
14,KY,1.0,2.0,2.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
15,LA,28.0,17.0,29.0,17.0,30.0,25.0,26.0,28.0,22.0,28.0,27.0,8.0
16,MA,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
17,MB,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,MD,1.0,2.0,1.0,1.0,0.0,3.0,0.0,1.0,1.0,0.0,1.0,0.0
19,ME,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
20,MI,7.0,4.0,4.0,7.0,4.0,2.0,1.0,8.0,6.0,3.0,2.0,2.0
21,MN,12.0,3.0,11.0,12.0,10.0,8.0,3.0,4.0,3.0,5.0,4.0,1.0
22,MO,8.0,2.0,6.0,8.0,5.0,6.0,7.0,4.0,1.0,5.0,3.0,2.0
23,MS,2.0,3.0,6.0,7.0,5.0,3.0,6.0,9.0,3.0,4.0,4.0,1.0
24,MT,3.0,4.0,6.0,2.0,8.0,5.0,5.0,7.0,4.0,2.0,2.0,0.0
25,NC,1.0,2.0,0.0,4.0,2.0,5.0,1.0,0.0,2.0,3.0,2.0,0.0
26,ND,5.0,7.0,3.0,10.0,9.0,4.0,8.0,11.0,17.0,5.0,7.0,3.0
27,NE,4.0,6.0,4.0,3.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,0.0
28,NJ,11.0,12.0,14.0,19.0,17.0,14.0,19.0,6.0,8.0,11.0,7.0,6.0
29,NM,4.0,3.0,6.0,12.0,13.0,16.0,11.0,14.0,13.0,10.0,9.0,5.0
30,NV,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,NY,3.0,2.0,1.0,2.0,1.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0
32,OH,3.0,5.0,5.0,7.0,13.0,9.0,11.0,13.0,2.0,3.0,1.0,0.0
33,OK,30.0,38.0,28.0,38.0,40.0,35.0,25.0,29.0,46.0,39.0,21.0,10.0
34,OR,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0
35,PA,2.0,5.0,5.0,8.0,4.0,10.0,9.0,4.0,2.0,7.0,2.0,2.0
36,PR,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,SC,4.0,2.0,1.0,1.0,4.0,2.0,2.0,0.0,0.0,3.0,0.0,0.0
38,SD,2.0,3.0,1.0,0.0,0.0,1.0,3.0,3.0,1.0,0.0,1.0,0.0
39,TN,1.0,0.0,1.0,2.0,2.0,1.0,0.0,5.0,0.0,1.0,0.0,0.0
40,TX,111.0,118.0,119.0,135.0,133.0,181.0,177.0,168.0,183.0,161.0,150.0,91.0
41,UT,2.0,0.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
42,VA,2.0,2.0,4.0,1.0,2.0,5.0,4.0,2.0,2.0,1.0,2.0,0.0
43,WA,1.0,1.0,3.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0
44,WI,4.0,4.0,7.0,1.0,4.0,6.0,1.0,3.0,3.0,4.0,0.0,1.0
45,WV,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0
46,WY,4.0,7.0,11.0,7.0,23.0,33.0,11.0,14.0,8.0,9.0,11.0,3.0
