Calendar Year,Portal Year,Incident Cause Type,Incident Cause SubType,Serious Incident Flag,Significant Incident Flag,,# of Fatalities,# of Injuries,Total Property Damage,Total Property Damage-Cur Yr Dollars,Commodity Spilled Amount bbls,Net Spill bbls,System Sub Type,Serious Incident Flag,Serious Incident Flag,Serious Incident Flag,State Name
2001,7/8/21,ALL OTHER CAUSES,MISCELLANEOUS,No,Yes,1,0,0,750000,1078688.627,0,0,GAS DISTRIBUTION,No,No,No,CONNECTICUT
2001,7/8/21,ALL OTHER CAUSES,MISCELLANEOUS,No,Yes,1,0,0,250000,359562.8758,0,0,GAS DISTRIBUTION,No,No,No,MINNESOTA
2001,7/8/21,ALL OTHER CAUSES,MISCELLANEOUS,No,Yes,1,0,0,170000,244502.7555,0,0,GAS DISTRIBUTION,No,No,No,OHIO
2001,7/8/21,ALL OTHER CAUSES,MISCELLANEOUS,No,Yes,1,0,0,200000,287650.3006,0,0,GAS DISTRIBUTION,No,No,No,VIRGINIA
2001,7/8/21,ALL OTHER CAUSES,MISCELLANEOUS,No,Yes,1,0,0,100000,143825.1503,0,0,GAS TRANSMISSION,No,No,No,ALASKA
2001,7/8/21,ALL OTHER CAUSES,MISCELLANEOUS,No,Yes,1,0,0,534000,768026.3026,0,0,GAS TRANSMISSION,No,No,No,ARIZONA
2001,7/8/21,ALL OTHER CAUSES,MISCELLANEOUS,No,Yes,1,0,0,105000,151016.4078,0,0,GAS TRANSMISSION,No,No,No,FLORIDA
2001,7/8/21,ALL OTHER CAUSES,MISCELLANEOUS,No,Yes,1,0,0,109620,157661.1298,0,0,GAS TRANSMISSION,No,No,No,ILLINOIS
2001,7/8/21,ALL OTHER CAUSES,MISCELLANEOUS,No,Yes,1,0,0,90000,129442.6353,0,0,GAS TRANSMISSION,No,No,No,LOUISIANA
2001,7/8/21,ALL OTHER CAUSES,MISCELLANEOUS,No,Yes,1,0,0,106000,152454.6593,0,0,GAS TRANSMISSION,No,No,No,MISSISSIPPI
2001,7/8/21,ALL OTHER CAUSES,MISCELLANEOUS,No,Yes,1,0,0,250000,359562.8758,0,0,GAS TRANSMISSION,No,No,No,N/A
