,IYEAR,NAME,LOCATION_LATITUDE,LOCATION_LONGITUDE,COMMODITY_RELEASED_TYPE,UNINTENTIONAL_RELEASE_BBLS,INTENTIONAL_RELEASE_BBLS,RECOVERED_BBLS,FATALITY_IND,FATAL,INJURY_IND,INJURE,SHUTDOWN_DUE_ACCIDENT_IND,MATERIAL_INVOLVED,RELEASE_TYPE,LEAK_TYPE,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,Unit Type,Unit Number,City,State,County,Zip,Country,Source,net_spill
9,2021,TORRANCE PIPELINE COMPANY LLC,33.804229,-118.28371,CRUDE OIL,1,0,1,NO,,NO,,NO,CARBON STEEL,LEAK,PINHOLE,33.803493,-118.284089,0.99,rooftop,24327,Figueroa St,,,Carson,CA,Los Angeles County,90745,US,City of Carson,0
40,2021,E&B NATURAL RESOURCES MANAGEMENT CORP,35.00564,-118.3705,CRUDE OIL,18,0,18,NO,,NO,,NO,CARBON STEEL,LEAK,OTHER,35.00564,-118.3705,0.13,nearest_place,,,,,Mojave,CA,Kern County,93501,US,TIGER/Line® dataset from the US Census Bureau,0
46,2021,"SFPP, LP",33.845486,-118.23015,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,70,0,70,NO,,NO,,NO,CARBON STEEL,LEAK,CRACK,33.846273,-118.229417,0.99,rooftop,2130,E Del Amo Blvd,,,Compton,CA,Los Angeles County,90220,US,City of Carson,0
48,2021,"SFPP, LP",33.23804,-115.504465,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,51.5,0,37,NO,,NO,,YES,CARBON STEEL,LEAK,CONNECTION FAILURE,33.236909,-115.504624,0.99,rooftop,404,E Noffisinger Rd,,,Niland,CA,Imperial County,92257,US,Imperial,14.5
61,2021,KERN OIL & REFINING CO.,35.287192,-119.21433,CRUDE OIL,2258,0,1062,NO,,NO,,YES,CARBON STEEL,OTHER,,35.296109,-119.234718,0.89,nearest_street,19722,Panama Ln,,,Bakersfield,CA,Kern County,93311,US,TIGER/Line® dataset from the US Census Bureau,1196
70,2021,WEST COAST TERMINAL PIPELINE  (WCTP),33.803663,-118.233568,CRUDE OIL,3.48,0,3.48,NO,,NO,,NO,CARBON STEEL,LEAK,CRACK,33.803786,-118.236219,0.96,nearest_street,24499,Alameda St,,,Wilmington,CA,Los Angeles County,90744,US,TIGER/Line® dataset from the US Census Bureau,0
75,2021,ZENITH ENERGY WEST COAST TERMINALS LLC,33.764578,-118.227986,CRUDE OIL,4.6,0,4.6,NO,,NO,,NO,CARBON STEEL,LEAK,PINHOLE,33.765194,-118.228082,1,rooftop,303,Ave,,,Long Beach,CA,Los Angeles County,90802,US,Los Angeles,0
121,2021,"SFPP, LP",33.845105,-118.230477,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,22.8,0,22.8,NO,,NO,,NO,CARBON STEEL,LEAK,OTHER,33.846384,-118.230921,0.99,rooftop,2080,E Del Amo Blvd,,,Long Beach,CA,Los Angeles County,90807,US,Los Angeles,0
126,2021,TORRANCE VALLEY PIPELINE COMPANY LLC,35.0764469,-119.3883459,CRUDE OIL,10,0,10,NO,,NO,,YES,CARBON STEEL,LEAK,PINHOLE,35.083908,-119.40069,0.91,nearest_street,26025,Kerto Rd,,,Maricopa,CA,Kern County,93252,US,TIGER/Line® dataset from the US Census Bureau,0
152,2021,WEST COAST TERMINAL PIPELINE  (WCTP),33.8,-118.23,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,18.7,0,18.7,NO,,NO,,NO,CARBON STEEL,LEAK,OTHER,33.8,-118.23,0.37,nearest_place,,,,,Long Beach,CA,Los Angeles County,90810,US,TIGER/Line® dataset from the US Census Bureau,0
