,IYEAR,NAME,LOCATION_LATITUDE,LOCATION_LONGITUDE,COMMODITY_RELEASED_TYPE,UNINTENTIONAL_RELEASE_BBLS,INTENTIONAL_RELEASE_BBLS,RECOVERED_BBLS,FATALITY_IND,FATAL,INJURY_IND,INJURE,SHUTDOWN_DUE_ACCIDENT_IND,MATERIAL_INVOLVED,RELEASE_TYPE,LEAK_TYPE,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,Unit Type,Unit Number,City,State,County,Zip,Country,Source,net_spill
80,2021,"PLAINS MARKETING, L.P.",38.794956,-89.069044,CRUDE OIL,10.0,0.0,9.9,NO,,NO,,YES,MATERIAL OTHER THAN CARBON STEEL,LEAK,SEAL OR PACKING,38.793872,-89.067847,0.97,nearest_street,8825,Farthing Rd,,,Vernon,IL,Marion County,62892,US,TIGER/Line® dataset from the US Census Bureau,0.09999999999999964
87,2021,MARATHON PIPE LINE LLC,39.32623,-87.89847,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,0.1,0.0,0.1,NO,,NO,,YES,CARBON STEEL,LEAK,CRACK,39.326101,-87.899147,0.98,nearest_street,12224,County Rd 600 E,,,Martinsville,IL,Clark County,62442,US,TIGER/Line® dataset from the US Census Bureau,0.0
105,2021,"CCPS TRANSPORTATION, LLC",40.943094,-88.644964,CRUDE OIL,0.95,0.0,0.95,NO,,NO,,YES,CARBON STEEL,LEAK,CONNECTION FAILURE,40.943841,-88.643698,0.97,nearest_street,21766,N 1500 E Rd,,,Pontiac,IL,Livingston County,61764,US,TIGER/Line® dataset from the US Census Bureau,0.0
172,2020,MARATHON PIPE LINE LLC,39.2914,-87.7363,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,300.0,0.0,232.0,NO,,NO,,YES,CARBON STEEL,RUPTURE,,39.297444,-87.739379,0.93,nearest_street,10000,Fox Rd,,,Marshall,IL,Clark County,62441,US,TIGER/Line® dataset from the US Census Bureau,68.0
173,2020,ENTERPRISE PRODUCTS OPERATING LLC,39.982125,-88.336325,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,0.1,0.0,0.0,NO,,NO,,YES,MATERIAL OTHER THAN CARBON STEEL,LEAK,SEAL OR PACKING,39.981947,-88.337663,0.97,nearest_street,666,County Rd 700 N,,,Tolono,IL,Champaign County,61880,US,TIGER/Line® dataset from the US Census Bureau,0.1
188,2020,"BUCKEYE PARTNERS, LP",38.8412019,-90.0764591,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,47.0,0.0,17.0,NO,,NO,,NO,CARBON STEEL,LEAK,CRACK,38.841918,-90.077109,0.98,nearest_street,174,E 8th St,,,Roxana,IL,Madison County,62084,US,TIGER/Line® dataset from the US Census Bureau,30.0
270,2020,"COUNTRYMARK REFINING AND LOGISTICS, LLC",38.59839813,-88.36041254,CRUDE OIL,40.0,0.0,40.0,NO,,NO,,YES,CARBON STEEL,OTHER,,38.602171,-88.362493,0.95,nearest_street,101,Snowberry Ln,,,Clay City,IL,Wayne County,62824,US,TIGER/Line® dataset from the US Census Bureau,0.0
291,2020,"ONEOK NGL PIPELINE, LLC",41.58275,-88.16556,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,2.5,0.0,0.0,NO,,NO,,YES,CARBON STEEL,LEAK,PINHOLE,41.583573,-88.165097,0.99,rooftop,V,Chicagoland Cir,,,Joliet,IL,Will County,60431,US,Will,2.5
344,2020,BP PIPELINE (NORTH AMERICA) INC.,41.360396,-87.878161,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,5.0,0.0,5.0,NO,,NO,,YES,CARBON STEEL,MECHANICAL PUNCTURE,,41.359909,-87.882419,0.95,nearest_street,29129,US Hwy 45,,,Peotone,IL,Will County,60468,US,TIGER/Line® dataset from the US Census Bureau,0.0
349,2020,"KINDER MORGAN LIQUID TERMINALS, LLC",41.768517,-87.825018,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,0.11,0.0,0.11,NO,,NO,,NO,CARBON STEEL,LEAK,SEAL OR PACKING,41.768943,-87.825929,0.99,rooftop,8500,W 68th St,,,Summit Argo,IL,Cook County,60501,US,Cook,0.0
