,IYEAR,NAME,LOCATION_LATITUDE,LOCATION_LONGITUDE,COMMODITY_RELEASED_TYPE,UNINTENTIONAL_RELEASE_BBLS,INTENTIONAL_RELEASE_BBLS,RECOVERED_BBLS,FATALITY_IND,FATAL,INJURY_IND,INJURE,SHUTDOWN_DUE_ACCIDENT_IND,MATERIAL_INVOLVED,RELEASE_TYPE,LEAK_TYPE,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,Unit Type,Unit Number,City,State,County,Zip,Country,Source,net_spill
14,2021,"FIELDWOOD ENERGY, LLC",29.203056,-89.043611,CRUDE OIL,6.0,0.0,4.0,NO,,NO,,YES,CARBON STEEL,MECHANICAL PUNCTURE,,29.203056,-89.043611,0.02,nearest_place,,,,,Pilottown,LA,Plaquemines Parish,70081,US,TIGER/Line® dataset from the US Census Bureau,2.0
20,2021,"WILLIAMS OLEFINS FEEDSTOCK PIPELINES, LLC",30.271667,-93.1575,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,211.0,0.0,0.0,NO,,NO,,YES,CARBON STEEL,MECHANICAL PUNCTURE,,30.27534,-93.157226,0.95,nearest_street,3416,Luke Powers Rd,,,Lake Charles,LA,Calcasieu Parish,70615,US,TIGER/Line® dataset from the US Census Bureau,211.0
24,2021,"WILLIAMS OLEFINS FEEDSTOCK PIPELINES, LLC",30.31126,-92.8779,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,17.0,0.0,0.0,NO,,NO,,NO,CARBON STEEL,LEAK,CONNECTION FAILURE,30.313478,-92.877772,0.96,nearest_street,19464,Rostrom Rd,,,Welsh,LA,Jefferson Davis Parish,70591,US,TIGER/Line® dataset from the US Census Bureau,17.0
108,2021,COLONIAL PIPELINE CO,30.711073,-91.281434,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,1.7,0.0,1.7,NO,,NO,,YES,MATERIAL OTHER THAN CARBON STEEL,LEAK,CRACK,30.716977,-91.28196,0.94,nearest_street,1289,Tom Mills Ln,,,Jackson,LA,East Feliciana Parish,70748,US,TIGER/Line® dataset from the US Census Bureau,0.0
115,2021,"BOARDWALK LOUISIANA MIDSTREAM, LLC",30.31801,-91.30951,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,153.4,15.0,0.0,NO,,NO,,YES,MATERIAL OTHER THAN CARBON STEEL,LEAK,CONNECTION FAILURE,30.322448,-91.308656,0.94,nearest_street,60801,State Rte 1148,,,Plaquemine,LA,Iberville Parish,70764,US,TIGER/Line® dataset from the US Census Bureau,168.4
130,2021,COLONIAL PIPELINE CO,30.528829,-91.746864,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,0.5,0.0,0.5,NO,,NO,,NO,MATERIAL OTHER THAN CARBON STEEL,LEAK,SEAL OR PACKING,30.530817,-91.753277,0.94,nearest_street,498,Todd Ave,,,Krotz Springs,LA,St. Landry Parish,70750,US,TIGER/Line® dataset from the US Census Bureau,0.0
131,2021,NUSTAR PIPELINE OPERATING PARTNERSHIP L.P.,30.08247,-90.92077,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,0.46,0.0,0.0,NO,,NO,,YES,CARBON STEEL,LEAK,SEAL OR PACKING,30.077009,-90.920028,0.94,nearest_street,21249,Lapice Rd,,,Saint James,LA,St. James Parish,70086,US,TIGER/Line® dataset from the US Census Bureau,0.46
151,2021,PHILLIPS 66 PIPELINE LLC,30.152075,-93.340114,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,0.97,0.0,0.97,NO,,NO,,YES,CARBON STEEL,MECHANICAL PUNCTURE,,30.14894,-93.342342,0.95,nearest_street,1688,Paktank Rd,,,Sulphur,LA,Calcasieu Parish,70665,US,TIGER/Line® dataset from the US Census Bureau,0.0
166,2020,"SHELL PIPELINE CO., L.P.",30.069722,-93.52,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,0.2,0.2,0.0,NO,,NO,,YES,CARBON STEEL,LEAK,PINHOLE,30.080211,-93.522472,0.91,nearest_street,8099,Gum Cove Rd,,,Sulphur,LA,Calcasieu Parish,70665,US,TIGER/Line® dataset from the US Census Bureau,0.4
201,2020,HARVEST MIDSTREAM COMPANY,29.29937222,-90.64919444,CRUDE OIL,0.3,0.0,0.3,NO,,NO,,NO,CARBON STEEL,OTHER,,29.299225,-90.648916,1.0,rooftop,7394,Highway 56,,,Chauvin,LA,Terrebonne Parish,70344,US,Terrebonne,0.0
215,2020,ENTERPRISE PRODUCTS OPERATING LLC,30.164743,-93.351383,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,60.0,0.0,0.0,NO,,NO,,YES,MATERIAL OTHER THAN CARBON STEEL,LEAK,CONNECTION FAILURE,30.168965,-93.350809,0.95,nearest_street,5500,State Rte 1133,,,Sulphur,LA,Calcasieu Parish,70663,US,TIGER/Line® dataset from the US Census Bureau,60.0
219,2020,CITGO PRODUCTS PIPELINE CO,30.179177,-93.343775,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,0.35,0.0,0.0,NO,,NO,,NO,CARBON STEEL,LEAK,OTHER,30.183643,-93.346635,0.94,nearest_street,4500,State Rte 1133,,,Sulphur,LA,Calcasieu Parish,70663,US,TIGER/Line® dataset from the US Census Bureau,0.35
223,2020,COLONIAL PIPELINE CO,30.44457431,-92.29073641,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,1.65,0.0,1.65,NO,,NO,,YES,CARBON STEEL,LEAK,SEAL OR PACKING,30.443749,-92.291938,0.97,nearest_street,2140,Britany Hwy,,,Church Point,LA,Acadia Parish,70525,US,TIGER/Line® dataset from the US Census Bureau,0.0
226,2020,EXXONMOBIL PIPELINE CO,30.007067,-90.859229,CRUDE OIL,10.0,0.0,10.0,NO,,NO,,YES,CARBON STEEL,LEAK,PINHOLE,30.007154,-90.859447,1.0,rooftop,6827,Locap Rd,,,Saint James,LA,St. James Parish,70086,US,St James,0.0
