,IYEAR,NAME,LOCATION_LATITUDE,LOCATION_LONGITUDE,COMMODITY_RELEASED_TYPE,UNINTENTIONAL_RELEASE_BBLS,INTENTIONAL_RELEASE_BBLS,RECOVERED_BBLS,FATALITY_IND,FATAL,INJURY_IND,INJURE,SHUTDOWN_DUE_ACCIDENT_IND,MATERIAL_INVOLVED,RELEASE_TYPE,LEAK_TYPE,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,Unit Type,Unit Number,City,State,County,Zip,Country,Source,net_spill
33,2021,"BUCKEYE PARTNERS, LP",40.5121785,-74.2919789,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,3.0,0.0,3.0,NO,,NO,,NO,CARBON STEEL,OTHER,,40.515304,-74.293393,0.95,nearest_street,1,Judy Dr,,,Keasbey,NJ,Middlesex County,8832,US,TIGER/Line® dataset from the US Census Bureau,0.0
54,2021,NUSTAR TERMINALS OPERATIONS PARTNERSHIP L. P.,40.608277,-74.221761,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,0.5,0.0,0.5,NO,,NO,,YES,CARBON STEEL,LEAK,SEAL OR PACKING,40.607559,-74.221118,0.99,rooftop,4000,Tremley Pt Rd,,,Linden,NJ,Union County,7036,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)",0.0
58,2021,"KINDER MORGAN LIQUID TERMINALS, LLC",40.5234,-74.25591,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,1.19,0.0,1.19,NO,,NO,,NO,CARBON STEEL,LEAK,PINHOLE,40.52253,-74.254623,0.99,rooftop,920,High St,,,Perth Amboy,NJ,Middlesex County,8861,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)",0.0
65,2021,"BUCKEYE PARTNERS, LP",40.61783,-74.21257,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,353.0,0.0,108.0,NO,,NO,,YES,CARBON STEEL,LEAK,OTHER,40.619538,-74.219133,0.96,nearest_street,,I 95,,,Linden,NJ,Union County,7036,US,TIGER/Line® dataset from the US Census Bureau,245.0
79,2021,"BUCKEYE PARTNERS, LP",40.56227,-74.244121,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,50.0,0.0,50.0,NO,,NO,,NO,CARBON STEEL,LEAK,CRACK,40.561737,-74.252022,0.94,nearest_street,770,Cliff Rd,,,Sewaren,NJ,Middlesex County,7077,US,TIGER/Line® dataset from the US Census Bureau,0.0
134,2021,IMTT-BAYONNE,40.64944,-74.14049,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,0.23,0.0,0.1,NO,,NO,,NO,CARBON STEEL,LEAK,SEAL OR PACKING,40.649864,-74.139322,0.99,rooftop,213,W 3rd St,,,Bayonne,NJ,Hudson County,7002,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)",0.13
179,2020,"KINDER MORGAN LIQUID TERMINALS, LLC",40.5909462,-74.2174704,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,0.83,0.0,0.83,NO,,NO,,NO,CARBON STEEL,LEAK,SEAL OR PACKING,40.587227,-74.218749,0.95,nearest_street,31,Beverly St,,,Carteret,NJ,Middlesex County,7008,US,TIGER/Line® dataset from the US Census Bureau,0.0
214,2020,SUNOCO PIPELINE L.P.,40.616076,-74.340111,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,0.3,0.0,0.3,NO,,NO,,NO,CARBON STEEL,LEAK,PINHOLE,40.615923,-74.339585,1.0,rooftop,3,Goodmans Xing,,,Clark,NJ,Union County,7066,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)",0.0
257,2020,NUSTAR TERMINALS OPERATIONS PARTNERSHIP L. P.,40.608277,-74.221761,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,2.5,0.0,2.5,NO,,NO,,YES,CARBON STEEL,LEAK,SEAL OR PACKING,40.607559,-74.221118,0.99,rooftop,4000,Tremley Pt Rd,,,Linden,NJ,Union County,7036,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)",0.0
266,2020,"KINDER MORGAN LIQUID TERMINALS, LLC",40.584232,-74.213172,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,0.24,0.0,0.24,NO,,NO,,NO,CARBON STEEL,LEAK,CRACK,40.583426,-74.214088,0.99,rooftop,41,Lafayette St,,,Carteret,NJ,Middlesex County,7008,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)",0.0
296,2020,"BUCKEYE PARTNERS, LP",40.511987,-74.292833,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,1.0,0.0,1.0,NO,,NO,,NO,CARBON STEEL,LEAK,CONNECTION FAILURE,40.515304,-74.293393,0.95,nearest_street,1,Judy Dr,,,Keasbey,NJ,Middlesex County,8832,US,TIGER/Line® dataset from the US Census Bureau,0.0
435,2020,"KINDER MORGAN LIQUID TERMINALS, LLC",40.589827,-74.215077,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,6.17,0.0,6.17,NO,,NO,,NO,CARBON STEEL,LEAK,CRACK,40.588879,-74.212054,0.96,nearest_street,71,Lafayette St,,,Carteret,NJ,Middlesex County,7008,US,TIGER/Line® dataset from the US Census Bureau,0.0
487,2020,IMTT-BAYONNE,40.65888889,-74.10916667,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,120.0,0.0,120.0,NO,,NO,,NO,CARBON STEEL,LEAK,SEAL OR PACKING,40.659517,-74.10978,0.99,rooftop,187,E 22nd St,,,Bayonne,NJ,Hudson County,7002,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)",0.0
591,2019,"KINDER MORGAN LIQUID TERMINALS, LLC",40.523574,-74.252607,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,0.1,0.0,0.0,NO,,NO,,NO,CARBON STEEL,LEAK,PINHOLE,40.523239,-74.251836,1.0,rooftop,920,High St,,,Perth Amboy,NJ,Middlesex County,8861,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)",0.1
618,2019,"KINDER MORGAN LIQUID TERMINALS, LLC",40.58214,-74.212383,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,40.0,0.0,40.0,NO,,NO,,NO,CARBON STEEL,LEAK,CONNECTION FAILURE,40.582862,-74.212821,0.99,rooftop,500,Roosevelt Ave,,,Carteret,NJ,Middlesex County,7008,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)",0.0
647,2019,"BUCKEYE PARTNERS, LP",40.560933,-74.252739,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,2.5,0.0,2.5,NO,,NO,,NO,CARBON STEEL,LEAK,PINHOLE,40.560768,-74.252581,1.0,rooftop,751,Cliff Rd,,,Sewaren,NJ,Middlesex County,7077,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)",0.0
659,2019,"KINDER MORGAN LIQUID TERMINALS, LLC",40.583972,-74.211946,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,25.0,0.0,25.0,NO,,NO,,NO,CARBON STEEL,LEAK,CONNECTION FAILURE,40.582862,-74.212821,0.99,rooftop,500,Roosevelt Ave,,,Carteret,NJ,Middlesex County,7008,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)",0.0
704,2019,"KINDER MORGAN LIQUID TERMINALS, LLC",40.58953,-74.225518,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,0.19,0.0,0.19,NO,,NO,,NO,CARBON STEEL,LEAK,PINHOLE,40.589526,-74.225477,1.0,rooftop,760,Roosevelt Ave,,,Carteret,NJ,Middlesex County,7008,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)",0.0
738,2019,COLONIAL PIPELINE CO,39.94446,-74.93466,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,0.3,0.0,0.3,NO,,NO,,YES,MATERIAL OTHER THAN CARBON STEEL,LEAK,CRACK,39.943177,-74.934992,0.97,nearest_street,10,Elbo Ln,,,Mount Laurel,NJ,Burlington County,8054,US,TIGER/Line® dataset from the US Census Bureau,0.0
815,2019,"KINDER MORGAN LIQUID TERMINALS, LLC",40.59241,-74.21251,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,71.43,0.0,0.0,NO,,NO,,NO,CARBON STEEL,LEAK,CONNECTION FAILURE,40.588879,-74.212054,0.95,nearest_street,71,Lafayette St,,,Carteret,NJ,Middlesex County,7008,US,TIGER/Line® dataset from the US Census Bureau,71.43
817,2019,IMTT-BAYONNE,40.658611,-74.1091667,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,0.7,0.0,0.7,NO,,NO,,NO,CARBON STEEL,LEAK,CONNECTION FAILURE,40.659517,-74.10978,0.99,rooftop,187,E 22nd St,,,Bayonne,NJ,Hudson County,7002,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)",0.0
