,IYEAR,NAME,LOCATION_LATITUDE,LOCATION_LONGITUDE,COMMODITY_RELEASED_TYPE,UNINTENTIONAL_RELEASE_BBLS,INTENTIONAL_RELEASE_BBLS,RECOVERED_BBLS,FATALITY_IND,FATAL,INJURY_IND,INJURE,SHUTDOWN_DUE_ACCIDENT_IND,MATERIAL_INVOLVED,RELEASE_TYPE,LEAK_TYPE,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,Unit Type,Unit Number,City,State,County,Zip,Country,Source,net_spill
191,2020,ENTERPRISE PRODUCTS OPERATING LLC,39.63882,-97.04227,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,0.6,50.0,0.0,NO,,NO,,YES,MATERIAL OTHER THAN CARBON STEEL,LEAK,SEAL OR PACKING,39.639,-97.042681,1.0,rooftop,1840,5th Rd,,,Linn,KS,Washington County,66953,US,Statewide,50.6
243,2020,"ONEOK NGL PIPELINE, LLC",38.36916,-97.83204,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,0.76,0.0,0.0,NO,,NO,,YES,CARBON STEEL,OTHER,,38.36991,-97.83224,0.99,rooftop,1352,5th Ave,,,McPherson,KS,McPherson County,67460,US,Statewide,0.76
306,2020,PHILLIPS 66 PIPELINE LLC,38.134175,-96.171873,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,0.25,0.0,0.0,NO,,NO,,YES,CARBON STEEL,LEAK,CRACK,38.136027,-96.162122,0.93,nearest_street,1963,County Rd 2,,,Madison,KS,Greenwood County,66860,US,TIGER/Line® dataset from the US Census Bureau,0.25
332,2020,JAYHAWK PIPELINE LLC,38.338991,-98.3107,CRUDE OIL,0.9,0.0,0.9,NO,,NO,,NO,CARBON STEEL,LEAK,OTHER,38.338612,-98.312574,0.97,nearest_street,1360,10th Rd,,,Chase,KS,Rice County,67524,US,TIGER/Line® dataset from the US Census Bureau,0.0
370,2020,"MAGELLAN PIPELINE COMPANY, LP",37.21576,-95.750474,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,0.95,0.0,0.95,NO,,NO,,NO,CARBON STEEL,LEAK,SEAL OR PACKING,37.215831,-95.750686,1.0,rooftop,836,S Rosser Rd,,,Independence,KS,Montgomery County,67301,US,Statewide,0.0
388,2020,"MAGELLAN PIPELINE COMPANY, LP",37.792208,-96.881365,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,1.0,0.0,0.0,NO,,NO,,YES,CARBON STEEL,LEAK,PINHOLE,37.794156,-96.88041,0.96,nearest_street,3001,SW Haverhill Rd,,,El Dorado,KS,Butler County,67042,US,TIGER/Line® dataset from the US Census Bureau,1.0
407,2020,"ROSE ROCK MIDSTREAM OPERATING, LLC",38.3102,-99.80602,CRUDE OIL,4.0,0.0,4.0,NO,,NO,,YES,CARBON STEEL,LEAK,CRACK,38.310034,-99.806127,1.0,rooftop,3313,X Rd,,,Ness City,KS,Ness County,67560,US,Statewide,0.0
411,2020,"TALLGRASS PONY EXPRESS PIPELINE, LLC",39.714291,-100.321225,CRUDE OIL,0.36,0.0,0.36,NO,,NO,,NO,CARBON STEEL,LEAK,CONNECTION FAILURE,39.714291,-100.321225,0.18,nearest_place,,,,,Jennings,KS,Decatur County,67643,US,TIGER/Line® dataset from the US Census Bureau,0.0
413,2020,"MAGELLAN PIPELINE COMPANY, LP",38.209437,-95.051784,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,4.0,0.0,4.0,NO,,NO,,YES,CARBON STEEL,LEAK,PINHOLE,38.208252,-95.051106,0.99,rooftop,2412,W 1250th Rd,,,Centerville,KS,Linn County,66014,US,Linn County,0.0
458,2020,ENTERPRISE PRODUCTS OPERATING LLC,37.634801,-98.864918,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,8601.0,0.0,0.0,NO,,NO,,YES,CARBON STEEL,RUPTURE,,37.629874,-98.868367,0.94,nearest_street,10214,SW 70th Ave,,,Pratt,KS,Pratt County,67124,US,TIGER/Line® dataset from the US Census Bureau,8601.0
