,IYEAR,NAME,LOCATION_LATITUDE,LOCATION_LONGITUDE,COMMODITY_RELEASED_TYPE,UNINTENTIONAL_RELEASE_BBLS,INTENTIONAL_RELEASE_BBLS,RECOVERED_BBLS,FATALITY_IND,FATAL,INJURY_IND,INJURE,SHUTDOWN_DUE_ACCIDENT_IND,MATERIAL_INVOLVED,RELEASE_TYPE,LEAK_TYPE,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,Unit Type,Unit Number,City,State,County,Zip,Country,Source,net_spill
19,2021,"PLAINS PIPELINE, L.P.",32.08157518,-103.17905,CRUDE OIL,2.7,0.0,2.7,NO,,NO,,YES,MATERIAL OTHER THAN CARBON STEEL,LEAK,CONNECTION FAILURE,32.081575,-103.17905,0.4,nearest_place,,,,,Jal,NM,Lea County,88252,US,TIGER/Line® dataset from the US Census Bureau,0.0
39,2021,"NUSTAR LOGISTICS, L.P.",34.99138,-106.6579,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,2.34,0.0,2.34,NO,,NO,,YES,CARBON STEEL,LEAK,SEAL OR PACKING,34.990937,-106.657981,1.0,rooftop,6348,Desert Rd SE,,,Albuquerque,NM,Bernalillo County,87105,US,Bernalillo,0.0
127,2021,ENTERPRISE CRUDE PIPELINE LLC,32.6519,-103.1398,CRUDE OIL,3.0,0.0,3.0,NO,,NO,,YES,CARBON STEEL,LEAK,CONNECTION FAILURE,32.652067,-103.13904,1.0,rooftop,201,W Arco Rd,,,Hobbs,NM,Lea County,88240,US,Statewide,0.0
128,2021,KINDER MORGAN CO2 CO. LLC,33.60751,-104.08182,CO2 (CARBON DIOXIDE),3.89,1.87,0.0,NO,,NO,,NO,MATERIAL OTHER THAN CARBON STEEL,LEAK,SEAL OR PACKING,33.60751,-104.08182,0.08,nearest_place,,,,,Elkins,NM,Chaves County,88201,US,TIGER/Line® dataset from the US Census Bureau,5.76
146,2021,"SAN MATEO BLACK RIVER OIL PIPELINE, LLC",32.426607,-104.083216,CRUDE OIL,1.0,0.0,1.0,NO,,NO,,YES,CARBON STEEL,LEAK,SEAL OR PACKING,32.426607,-104.083216,0.07,nearest_place,,,,,Otis,NM,Eddy County,88220,US,TIGER/Line® dataset from the US Census Bureau,0.0
205,2020,SUNOCO PIPELINE L.P.,32.207591,-103.452344,CRUDE OIL,0.25,0.0,0.25,NO,,NO,,YES,MATERIAL OTHER THAN CARBON STEEL,LEAK,SEAL OR PACKING,32.207591,-103.452344,0.03,nearest_place,,,,,Jal,NM,Lea County,88252,US,TIGER/Line® dataset from the US Census Bureau,0.0
208,2020,"PLAINS PIPELINE, L.P.",32.063652,-104.133369,CRUDE OIL,1.6,0.0,1.6,NO,,NO,,YES,CARBON STEEL,OVERFILL OR OVERFLOW,,32.063652,-104.133369,0.06,nearest_place,,,,,Malaga,NM,Eddy County,88263,US,TIGER/Line® dataset from the US Census Bureau,0.0
216,2020,"PLAINS PIPELINE, L.P.",32.263131,-104.132992,CRUDE OIL,3.8,0.0,3.8,NO,,NO,,YES,CARBON STEEL,LEAK,SEAL OR PACKING,32.264188,-104.133382,0.99,rooftop,959,Bounds Rd,,,Carlsbad,NM,Eddy County,88220,US,Statewide,0.0
254,2020,KINDER MORGAN CO2 CO. LP,33.96455,-104.58069,CO2 (CARBON DIOXIDE),0.47,4.38,0.0,NO,,NO,,NO,CARBON STEEL,LEAK,OTHER,33.963759,-104.581725,0.99,rooftop,323,Ft Sumner Rd,,,Roswell,NM,Chaves County,88201,US,Statewide,4.85
280,2020,"PLAINS PIPELINE, L.P.",32.08157518,-103.17905,CRUDE OIL,10.7,0.0,10.7,NO,,NO,,YES,MATERIAL OTHER THAN CARBON STEEL,LEAK,SEAL OR PACKING,32.081575,-103.17905,0.4,nearest_place,,,,,Jal,NM,Lea County,88252,US,TIGER/Line® dataset from the US Census Bureau,0.0
289,2020,DCP MIDSTREAM,31.92409,-104.01934,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,0.53,0.0,0.0,NO,,NO,,YES,MATERIAL OTHER THAN CARBON STEEL,LEAK,SEAL OR PACKING,31.92409,-104.01934,0.03,nearest_place,,,,,Malaga,NM,,88263,US,TIGER/Line® dataset from the US Census Bureau,0.53
339,2020,"PLAINS PIPELINE, L.P.",31.983114,-104.213703,CRUDE OIL,2.0,0.0,0.0,NO,,NO,,YES,CARBON STEEL,LEAK,SEAL OR PACKING,31.983114,-104.213703,0.03,nearest_place,,,,,Whites City,NM,,88268,US,TIGER/Line® dataset from the US Census Bureau,2.0
381,2020,"WESTERN REFINING LOGISTICS, LP",36.4871,-108.1306,CRUDE OIL,0.3,0.0,0.07,NO,,NO,,NO,CARBON STEEL,LEAK,OTHER,36.487744,-108.131193,0.99,rooftop,951,Road 7100,,,Bloomfield,NM,San Juan County,87413,US,Statewide,0.22999999999999998
397,2020,"ROADRUNNER PIPELINE, L.L.C.",32.87410517,-103.3012954,CRUDE OIL,212.0,0.0,130.0,NO,,NO,,YES,CARBON STEEL,LEAK,CONNECTION FAILURE,32.874105,-103.301295,0.09,nearest_place,,,,,Lovington,NM,Lea County,88260,US,TIGER/Line® dataset from the US Census Bureau,82.0
549,2019,"ENLINK PERMIAN, LLC",32.251642,-103.961531,CRUDE OIL,1501.0,0.0,100.0,NO,,NO,,NO,MATERIAL OTHER THAN CARBON STEEL,LEAK,CONNECTION FAILURE,32.251642,-103.961531,0.06,nearest_place,,,,,Malaga,NM,Eddy County,88263,US,TIGER/Line® dataset from the US Census Bureau,1401.0
550,2019,ORYX DELAWARE OIL TRANSPORT LLC,32.22476,-104.133393,CRUDE OIL,2.67,0.0,1.0,NO,,NO,,YES,CARBON STEEL,LEAK,CRACK,32.217819,-104.128079,0.92,nearest_street,452,Roadrunner Rd,,,Carlsbad,NM,Eddy County,88220,US,TIGER/Line® dataset from the US Census Bureau,1.67
574,2019,"WESTERN REFINING LOGISTICS, LP",35.3191,-106.4336,CRUDE OIL,1.9,0.0,0.7,NO,,NO,,YES,CARBON STEEL,OVERFILL OR OVERFLOW,,35.318901,-106.433782,1.0,rooftop,101,Camino De Las Huertas,,,Placitas,NM,Sandoval County,87043,US,Statewide,1.2
