,IYEAR,NAME,LOCATION_LATITUDE,LOCATION_LONGITUDE,COMMODITY_RELEASED_TYPE,UNINTENTIONAL_RELEASE_BBLS,INTENTIONAL_RELEASE_BBLS,RECOVERED_BBLS,FATALITY_IND,FATAL,INJURY_IND,INJURE,SHUTDOWN_DUE_ACCIDENT_IND,MATERIAL_INVOLVED,RELEASE_TYPE,LEAK_TYPE,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,Unit Type,Unit Number,City,State,County,Zip,Country,Source,net_spill
15,2021,CENEX PIPELINE LLC,47.014696,-97.196908,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,0.7,0.0,0.7,NO,,NO,,NO,CARBON STEEL,LEAK,OTHER,47.014371,-97.196665,0.98,nearest_street,2748,156th Ave SE,,,Amenia,ND,Cass County,58004,US,TIGER/Line® dataset from the US Census Bureau,0.0
57,2021,"SUMMIT MIDSTREAM PARTNERS, LLC",48.805078,-103.617502,CRUDE OIL,535.0,0.0,400.0,NO,,NO,,YES,CARBON STEEL,LEAK,CRACK,48.805078,-103.617502,0.07,nearest_place,,,,,Ambrose,ND,Divide County,58833,US,TIGER/Line® dataset from the US Census Bureau,135.0
60,2021,CENEX PIPELINE LLC,48.22844,-101.3672,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,0.24,0.0,0.24,NO,,NO,,NO,MATERIAL OTHER THAN CARBON STEEL,LEAK,OTHER,48.229358,-101.367539,0.99,nearest_street,,US 2,,,Minot,ND,Ward County,58701,US,TIGER/Line® dataset from the US Census Bureau,0.0
210,2020,TC OIL PIPELINE OPERATIONS INC,47.9217,-97.9233,CRUDE OIL,2.0,0.0,2.0,NO,,NO,,YES,MATERIAL OTHER THAN CARBON STEEL,LEAK,SEAL OR PACKING,47.918575,-97.925148,0.95,nearest_street,3516,124th Ave NE,,,Niagara,ND,Nelson County,58266,US,TIGER/Line® dataset from the US Census Bureau,0.0
315,2020,CENEX PIPELINE LLC,48.22898,-101.36908,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,0.25,0.0,0.25,NO,,NO,,NO,CARBON STEEL,OVERFILL OR OVERFLOW,,48.229358,-101.367539,0.99,nearest_street,,US 2,,,Minot,ND,Ward County,58701,US,TIGER/Line® dataset from the US Census Bureau,0.0
345,2020,"DAPL-ETCO OPERATIONS MANAGEMENT, LLC",47.79933,-102.9238,CRUDE OIL,4.6,0.0,4.6,NO,,NO,,YES,MATERIAL OTHER THAN CARBON STEEL,LEAK,CRACK,47.79933,-102.9238,0.04,nearest_place,,,,,Mandaree,ND,McKenzie County,58757,US,TIGER/Line® dataset from the US Census Bureau,0.0
353,2020,"ENBRIDGE ENERGY, LIMITED PARTNERSHIP",48.712069,-97.123908,CRUDE OIL,0.1,0.0,0.1,NO,,NO,,YES,CARBON STEEL,LEAK,CRACK,48.701969,-97.124131,0.92,nearest_street,16298,89th St NE,,,Saint Thomas,ND,Pembina County,58276,US,TIGER/Line® dataset from the US Census Bureau,0.0
386,2020,TC OIL PIPELINE OPERATIONS INC,46.586586,-97.933122,CRUDE OIL,2.0,0.0,2.0,NO,,NO,,YES,MATERIAL OTHER THAN CARBON STEEL,LEAK,SEAL OR PACKING,46.587484,-97.930798,0.96,nearest_street,11892,57th St SE,,,Kathryn,ND,Ransom County,58049,US,TIGER/Line® dataset from the US Census Bureau,0.0
483,2020,DAKOTA MIDSTREAM,47.702692,-103.651631,CRUDE OIL,0.1,0.0,0.1,NO,,NO,,NO,CARBON STEEL,OTHER,,47.702692,-103.651631,0.05,nearest_place,,,,,Alexander,ND,McKenzie County,58831,US,TIGER/Line® dataset from the US Census Bureau,0.0
489,2020,"ONEOK NGL PIPELINE, LLC",47.15197,-104.12472,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,0.17,0.02,0.0,NO,,NO,,YES,CARBON STEEL,LEAK,CRACK,47.15197,-104.12472,0.03,nearest_place,,,,,Beach,ND,,58621,US,TIGER/Line® dataset from the US Census Bureau,0.19
