,IYEAR,NAME,LOCATION_LATITUDE,LOCATION_LONGITUDE,COMMODITY_RELEASED_TYPE,UNINTENTIONAL_RELEASE_BBLS,INTENTIONAL_RELEASE_BBLS,RECOVERED_BBLS,FATALITY_IND,FATAL,INJURY_IND,INJURE,SHUTDOWN_DUE_ACCIDENT_IND,MATERIAL_INVOLVED,RELEASE_TYPE,LEAK_TYPE,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,Unit Type,Unit Number,City,State,County,Zip,Country,Source,net_spill
2,2021,"ROSE ROCK MIDSTREAM OPERATING, LLC",35.927207,-96.760283,CRUDE OIL,0.5,0.0,0.5,NO,,NO,,YES,2021,RUBBER,,35.927647,-96.761302,0.97,nearest_street,350551,E0750 Rd,,,Cushing,OK,Lincoln County,74023,US,TIGER/Line® dataset from the US Census Bureau,0.0
26,2021,PHILLIPS 66 PIPELINE LLC,36.79052,-97.5923,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,1.19,0.0,0.0,NO,,NO,,YES,CARBON STEEL,LEAK,PINHOLE,36.79052,-97.5923,0.12,nearest_place,,,,,Deer Creek,OK,Grant County,74636,US,TIGER/Line® dataset from the US Census Bureau,1.19
28,2021,"MAGELLAN PIPELINE COMPANY, LP",36.130839,-96.024393,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,5.0,0.0,5.0,NO,,NO,,NO,MATERIAL OTHER THAN CARBON STEEL,LEAK,CRACK,36.129772,-96.022626,0.99,rooftop,2700,W 21st St S,,,Tulsa,OK,Tulsa County,74107,US,Tulsa,0.0
34,2021,ENBRIDGE STORAGE (CUSHING) L.L.C.,35.945081,-96.760319,CRUDE OIL,0.18,0.0,0.18,NO,,NO,,NO,MATERIAL OTHER THAN CARBON STEEL,LEAK,SEAL OR PACKING,35.953157,-96.767384,0.92,nearest_street,2698,S Little Ave,,,Cushing,OK,Payne County,74023,US,TIGER/Line® dataset from the US Census Bureau,0.0
38,2021,ENBRIDGE STORAGE (CUSHING) L.L.C.,35.944806,-96.764764,CRUDE OIL,0.48,0.0,0.48,NO,,NO,,NO,CARBON STEEL,LEAK,SEAL OR PACKING,35.953157,-96.767384,0.92,nearest_street,2698,S Little Ave,,,Cushing,OK,Payne County,74023,US,TIGER/Line® dataset from the US Census Bureau,0.0
42,2021,"MAGELLAN TERMINALS HOLDINGS, LP",35.946747,-96.743018,CRUDE OIL,3.0,0.0,3.0,NO,,NO,,YES,CARBON STEEL,LEAK,SEAL OR PACKING,35.946937,-96.749211,0.94,nearest_street,3004,N3510 Rd,,,Cushing,OK,Payne County,74023,US,TIGER/Line® dataset from the US Census Bureau,0.0
55,2021,"HOLLY ENERGY PARTNERS - OPERATING, L.P.",36.12478,-96.00645,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,1.0,0.0,1.0,NO,,NO,,YES,CARBON STEEL,LEAK,SEAL OR PACKING,36.12531,-96.006846,1.0,rooftop,2501,S Southwest Blvd W,,,Tulsa,OK,Tulsa County,74107,US,Tulsa,0.0
95,2021,"NUSTAR LOGISTICS, L.P.",34.2022,-97.34698,CRUDE OIL,4.0,0.0,4.0,NO,,NO,,NO,CARBON STEEL,LEAK,CONNECTION FAILURE,34.20198,-97.347321,1.0,rooftop,13798,Prairie Valley Rd,,,Lone Grove,OK,Carter County,73443,US,"Kern, Cleveland, Canadian, Logan Counties",0.0
103,2021,"TEXOMA CRUDE OIL PIPELINE CO., LLC",34.237801,-97.493738,CRUDE OIL,50.0,0.0,50.0,NO,,NO,,YES,CARBON STEEL,LEAK,PINHOLE,34.237811,-97.492765,0.99,rooftop,11797,State Highway 76 Hwy,,,Healdton,OK,Carter County,73438,US,"Kern, Cleveland, Canadian, Logan Counties",0.0
149,2021,ENTERPRISE CRUDE PIPELINE LLC,35.94856,-96.75931,CRUDE OIL,10.0,0.0,10.0,NO,,NO,,NO,CARBON STEEL,LEAK,OTHER,35.953157,-96.767384,0.93,nearest_street,2698,S Little Ave,,,Cushing,OK,Payne County,74023,US,TIGER/Line® dataset from the US Census Bureau,0.0
