,IYEAR,NAME,LOCATION_LATITUDE,LOCATION_LONGITUDE,COMMODITY_RELEASED_TYPE,UNINTENTIONAL_RELEASE_BBLS,INTENTIONAL_RELEASE_BBLS,RECOVERED_BBLS,FATALITY_IND,FATAL,INJURY_IND,INJURE,SHUTDOWN_DUE_ACCIDENT_IND,MATERIAL_INVOLVED,RELEASE_TYPE,LEAK_TYPE,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,Unit Type,Unit Number,City,State,County,Zip,Country,Source,net_spill,incident_count
3797,2011,SUNOCO PIPELINE L.P.,32.63239,-99.80477,CRUDE OIL,2.0,0.0,0.0,NO,,NO,,NO,,OVERFILL OR OVERFLOW,,32.632467,-99.804762,1.0,rooftop,10866,Farm To Market Rd 3326 S,,,Hawley,TX,Jones County,79525,US,Jones,2.0,1
3798,2011,ENTERPRISE PRODUCTS OPERATING LLC,29.750786,-95.209372,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,0.23,0.0,0.2,NO,,NO,,,,LEAK,SEAL OR PACKING,29.750918,-95.212739,0.96,nearest_street,2112,Federal Rd,,,Houston,TX,Harris County,77015,US,TIGER/Line® dataset from the US Census Bureau,0.03,1
3799,2011,ENTERPRISE PRODUCTS OPERATING LLC,31.78341,-103.46442,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,0.0,0.0,0.0,NO,,YES,1.0,YES,MATERIAL OTHER THAN CARBON STEEL,OTHER,,31.78341,-103.46442,0.04,nearest_place,,,,,Mentone,TX,Loving County,79754,US,TIGER/Line® dataset from the US Census Bureau,0.0,1
3800,2011,ENTERPRISE PRODUCTS OPERATING LLC,31.78341,-103.46442,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,3283.0,0.0,0.0,NO,,NO,,YES,MATERIAL OTHER THAN CARBON STEEL,RUPTURE,,31.78341,-103.46442,0.04,nearest_place,,,,,Mentone,TX,Loving County,79754,US,TIGER/Line® dataset from the US Census Bureau,3283.0,1
3801,2011,"TOTAL PETROCHEMICALS PIPELINE USA , INC.",29.893363,-93.9928,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,2.0,0.0,1.0,NO,,NO,,NO,,LEAK,CONNECTION FAILURE,29.892334,-93.990933,0.96,nearest_street,5501,Roosevelt Ave,,,Port Arthur,TX,Jefferson County,77640,US,TIGER/Line® dataset from the US Census Bureau,1.0,1
3803,2011,SUNOCO PIPELINE L.P.,30.2867,-94.5058,CRUDE OIL,2.5,0.0,0.0,NO,,NO,,NO,,OVERFILL OR OVERFLOW,,30.286642,-94.506228,1.0,rooftop,15483,Farm To Market Rd,,,Saratoga,TX,Hardin County,77585,US,Hardin,2.5,1
3804,2011,ENTERPRISE CRUDE PIPELINE LLC,28.93564,-95.320507,CRUDE OIL,1.0,0.0,0.0,NO,,NO,,NO,,LEAK,PINHOLE,28.935231,-95.319533,0.99,rooftop,2319,Old Quintana,,,Freeport,TX,Brazoria County,77541,US,Brazoria,1.0,1
3809,2011,"KOCH PIPELINE COMPANY, L.P.",32.29488,-97.13418,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,0.23,0.0,0.23,NO,,NO,,YES,,LEAK,CONNECTION FAILURE,32.294707,-97.134069,1.0,rooftop,10800,County Rd 103,,,Grandview,TX,Johnson County,76050,US,Johnson,0.0,1
3810,2011,SUNOCO PIPELINE L.P.,32.06704,-96.4719,CRUDE OIL,0.71,0.0,0.0,NO,,NO,,NO,,LEAK,PINHOLE,32.061999,-96.469949,0.94,nearest_street,1156,N Spikes Rd,,,Corsicana,TX,Navarro County,75110,US,TIGER/Line® dataset from the US Census Bureau,0.71,1
3817,2011,ENTERPRISE CRUDE PIPELINE LLC,33.68092,-97.075241,CRUDE OIL,1.0,0.0,0.0,NO,,NO,,,,LEAK,CRACK,33.680946,-97.076067,1.0,rooftop,2864,Farm To Market Rd 371,,,Gainesville,TX,Cooke County,76240,US,Cooke,1.0,1
3818,2011,UNOCAL PIPELINE CO - EASTERN REGION,29.9948,-93.9853,CRUDE OIL,31.0,0.0,27.0,NO,,NO,,YES,CARBON STEEL,LEAK,CRACK,29.988412,-93.981895,0.93,nearest_street,100,Lnva Canal,,,Nederland,TX,Jefferson County,77627,US,TIGER/Line® dataset from the US Census Bureau,4.0,1
3822,2011,"KINDER MORGAN LIQUID TERMINALS, LLC",29.43573,-95.121835,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,10.0,0.0,10.0,NO,,NO,,YES,CARBON STEEL,LEAK,SEAL OR PACKING,29.437701,-95.1196,0.96,nearest_street,8200,Farm To Market Rd 517,,,Dickinson,TX,Galveston County,77539,US,TIGER/Line® dataset from the US Census Bureau,0.0,1
