,IYEAR,OPERATOR_ID,NAME,LOCAL_DATETIME,LOCATION_LATITUDE,LOCATION_LONGITUDE,COMMODITY_RELEASED_TYPE,COMMODITY_SUBTYPE,COMMODITY_DETAILS,UNINTENTIONAL_RELEASE_BBLS,INTENTIONAL_RELEASE_BBLS,RECOVERED_BBLS,FATAL,INJURE,SHUTDOWN_DUE_ACCIDENT_IND,SHUTDOWN_EXPLAIN,SHUTDOWN_DATETIME,RESTART_DATETIME,NUM_PUB_EVACUATED,INCIDENT_IDENTIFIED_DATETIME,LOCATION_TYPE,INCIDENT_AREA_TYPE,INSTALLATION_YEAR,MATERIAL_INVOLVED,RELEASE_TYPE,PUNCTURE_AXIAL,PUNCTURE_CIRCUM,LEAK_TYPE,LEAK_TYPE_OTHER,WILDLIFE_IMPACT_IND,SOIL_CONTAMINATION,LONG_TERM_ASSESSMENT,REMEDIATION_IND,SOIL_REMED_IND,WATER_CONTAM_IND,OTHER_POP_IND,OTHER_POP_YES_NO,USA_DRINKING_IND,USA_DRINKING_YES_NO,EST_COST_GAS_RELEASED,EST_COST_PROP_DAMAGE,EST_COST_EMERGENCY,EST_COST_ENVIRONMENTAL,EST_COST_OTHER,PART_C_QUESTION_2_IND,CAUSE,CAUSE_DETAILS,net_spill
3796,2011,9175,JAYHAWK PIPELINE LLC,12/30/11 10:35,39.10878,-99.17953,CRUDE OIL,,,150.0,0.0,100.0,,,YES,,12/30/11 10:38,12/31/11 13:00,0.0,12/30/11 11:30,PIPELINE RIGHT-OF-WAY,UNDERGROUND,,CARBON STEEL,LEAK,,,CRACK,,NO,YES,YES,YES,YES,YES,,,,,4000.0,3000.0,5000.0,142800.0,0.0,YES,MATERIAL FAILURE OF PIPE OR WELD,"CONSTRUCTION-, INSTALLATION-, OR FABRICATION-RELATED",50.0
3797,2011,18718,SUNOCO PIPELINE L.P.,12/29/11 14:25,32.63239,-99.80477,CRUDE OIL,,,2.0,0.0,0.0,,,NO,SCRAPER TRAP ISOLATION VALVES WERE USED TO REPLACE DRAIN VALVE.,,,0.0,12/29/11 14:25,TOTALLY CONTAINED ON OPERATOR-CONTROLLED PROPERTY,ABOVEGROUND,,,OVERFILL OR OVERFLOW,,,,,,,,,,NO,,,,,192.0,940.0,900.0,1580.0,0.0,YES,EQUIPMENT FAILURE,OTHER EQUIPMENT FAILURE,2.0
3798,2011,31618,ENTERPRISE PRODUCTS OPERATING LLC,12/29/11 9:00,29.750786,-95.209372,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,"DIESEL, FUEL OIL, KEROSENE, JET FUEL",,0.23,0.0,0.2,,,,,,,,,TOTALLY CONTAINED ON OPERATOR-CONTROLLED PROPERTY,ABOVEGROUND,,,LEAK,,,SEAL OR PACKING,,,,,,,NO,,,,,30.0,100.0,0.0,1500.0,0.0,NO,EQUIPMENT FAILURE,"FAILURE OF EQUIPMENT BODY (EXCEPT PUMP), TANK PLATE, OR OTHER MATERIAL",0.03
3799,2011,31618,ENTERPRISE PRODUCTS OPERATING LLC,12/28/11 17:00,31.78341,-103.46442,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,LPG (LIQUEFIED PETROLEUM GAS)  /  NGL (NATURAL GAS LIQUID),,0.0,0.0,0.0,,1.0,YES,,12/28/11 17:00,1/12/12 10:55,0.0,12/28/11 21:10,PIPELINE RIGHT-OF-WAY,UNDERGROUND,1929.0,MATERIAL OTHER THAN CARBON STEEL,OTHER,,,,,NO,YES,NO,NO,,NO,,,,,0.0,0.0,10500.0,0.0,0.0,YES,OTHER INCIDENT CAUSE,MISCELLANEOUS,0.0
3800,2011,31618,ENTERPRISE PRODUCTS OPERATING LLC,12/27/11 21:00,31.78341,-103.46442,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,OTHER HVL,PROPANE/BUTANE MIX,3283.0,0.0,0.0,,,YES,,12/27/11 21:30,1/12/12 10:55,0.0,12/27/11 23:02,PIPELINE RIGHT-OF-WAY,UNDERGROUND,1929.0,MATERIAL OTHER THAN CARBON STEEL,RUPTURE,,,,,NO,YES,NO,NO,,NO,,,,,100000.0,105000.0,12000.0,0.0,0.0,YES,MATERIAL FAILURE OF PIPE OR WELD,"CONSTRUCTION-, INSTALLATION-, OR FABRICATION-RELATED",3283.0
3801,2011,32346,"TOTAL PETROCHEMICALS PIPELINE USA , INC.",12/27/11 13:00,29.893363,-93.9928,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,"DIESEL, FUEL OIL, KEROSENE, JET FUEL",,2.0,0.0,1.0,,,NO,,,,0.0,12/27/11 13:00,TOTALLY CONTAINED ON OPERATOR-CONTROLLED PROPERTY,"TANK, INCLUDING ATTACHED APPURTENANCES",,,LEAK,,,CONNECTION FAILURE,,,,,,,NO,,,,,100.0,0.0,500.0,500.0,0.0,NO,EQUIPMENT FAILURE,DEFECTIVE OR LOOSE TUBING OR FITTING,1.0
3802,2011,22855,"KOCH PIPELINE COMPANY, L.P.",12/20/11 13:30,39.45627,-92.08238,CRUDE OIL,,,0.83,0.0,0.83,,,YES,,12/20/11 13:30,12/21/11 16:05,0.0,12/20/11 13:30,TOTALLY CONTAINED ON OPERATOR-CONTROLLED PROPERTY,ABOVEGROUND,,,LEAK,,,SEAL OR PACKING,,,,,,,NO,,,,,67.0,5000.0,0.0,744.0,0.0,NO,EQUIPMENT FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,0.0
3803,2011,18718,SUNOCO PIPELINE L.P.,12/20/11 9:30,30.2867,-94.5058,CRUDE OIL,,,2.5,0.0,0.0,,,NO,VALVE MISALIGNMENT RESULTING IN SUMP OVERFILL.,,,0.0,12/20/11 9:30,TOTALLY CONTAINED ON OPERATOR-CONTROLLED PROPERTY,UNDERGROUND,,,OVERFILL OR OVERFLOW,,,,,,,,,,NO,,,,,242.0,0.0,5192.0,0.0,0.0,NO,INCORRECT OPERATION,"TANK, VESSEL, OR SUMP/SEPARATOR ALLOWED OR CAUSED TO OVERFILL OR OVERFLOW",2.5
3804,2011,30829,ENTERPRISE CRUDE PIPELINE LLC,12/19/11 18:10,28.93564,-95.320507,CRUDE OIL,,,1.0,0.0,0.0,,,NO,LEAK WAS ON BYPASS VALVE PIPING,,,0.0,,TOTALLY CONTAINED ON OPERATOR-CONTROLLED PROPERTY,ABOVEGROUND,,,LEAK,,,PINHOLE,,,,,,,NO,,,,,90.0,10.0,0.0,15000.0,0.0,NO,CORROSION FAILURE,EXTERNAL CORROSION,1.0
3805,2011,3445,DIXIE PIPELINE,12/17/11 16:55,33.6809,-81.8849,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,LPG (LIQUEFIED PETROLEUM GAS)  /  NGL (NATURAL GAS LIQUID),,22.0,0.0,0.0,,,YES,,12/17/11 16:55,12/17/11 18:45,0.0,12/17/11 16:55,TOTALLY CONTAINED ON OPERATOR-CONTROLLED PROPERTY,ABOVEGROUND,2010.0,MATERIAL OTHER THAN CARBON STEEL,LEAK,,,SEAL OR PACKING,,NO,NO,NO,NO,,NO,,,,,1266.0,2600.0,0.0,0.0,0.0,NO,EQUIPMENT FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,22.0
3806,2011,22610,"MAGELLAN PIPELINE COMPANY, LP",12/14/11 16:00,36.632156,-97.125787,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,"DIESEL, FUEL OIL, KEROSENE, JET FUEL",,250.0,0.0,150.0,,,NO,SHUT IN DUE TO HYDROTEST / BACK IN SERVICE 1/16/12,,,0.0,,PIPELINE RIGHT-OF-WAY,UNDERGROUND,1957.0,CARBON STEEL,LEAK,,,PINHOLE,,NO,YES,YES,YES,YES,YES,,,,,31500.0,5000.0,10000.0,240000.0,0.0,YES,MATERIAL FAILURE OF PIPE OR WELD,"CONSTRUCTION-, INSTALLATION-, OR FABRICATION-RELATED",100.0
3807,2011,2552,COLONIAL PIPELINE CO,12/12/11 10:16,36.06889,-78.06611,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,GASOLINE (NON-ETHANOL),,3.3,0.0,2.0,,,YES,,12/12/11 10:16,12/12/11 16:30,,,TOTALLY CONTAINED ON OPERATOR-CONTROLLED PROPERTY,ABOVEGROUND,,,LEAK,,,OTHER,SIGHT GLASS ON DRAIN LINE,,,,,,NO,,,,,415.0,2456.0,15000.0,4743.0,0.0,NO,EQUIPMENT FAILURE,OTHER EQUIPMENT FAILURE,1.2999999999999998
3808,2011,32266,ST. JAMES OIL CORPORATION,12/12/11 10:00,34.0522342,-118.2436849,CRUDE OIL,,,0.5,0.0,0.5,,,YES,,12/12/11 10:10,1/26/12 10:00,0.0,12/12/11 10:00,PIPELINE RIGHT-OF-WAY,UNDERGROUND,1963.0,CARBON STEEL,LEAK,,,PINHOLE,,NO,YES,NO,NO,,NO,,,,,50.0,0.0,12000.0,0.0,61000.0,YES,CORROSION FAILURE,INTERNAL CORROSION,0.0
