,IYEAR,NAME,LOCATION_LATITUDE,LOCATION_LONGITUDE,COMMODITY_RELEASED_TYPE,UNINTENTIONAL_RELEASE_BBLS,INTENTIONAL_RELEASE_BBLS,RECOVERED_BBLS,FATALITY_IND,FATAL,INJURY_IND,INJURE,SHUTDOWN_DUE_ACCIDENT_IND,MATERIAL_INVOLVED,RELEASE_TYPE,LEAK_TYPE,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,Unit Type,Unit Number,City,State,County,Zip,Country,Source
49,2021,"HOLLY ENERGY PARTNERS - OPERATING, L.P.",41.568256,-109.978172,CRUDE OIL,0.3,,0.3,NO,,NO,,YES,CARBON STEEL,LEAK,SEAL OR PACKING,41.573749,-109.98023,0.94,nearest_street,254,Old Little America Rd,,,Granger,WY,Sweetwater County,82934,US,TIGER/Line® dataset from the US Census Bureau
77,2021,"SCM PR, LLC",43.648024,-105.641906,CRUDE OIL,200.0,,160.0,NO,,NO,,YES,MATERIAL OTHER THAN CARBON STEEL,OTHER,,43.648024,-105.641906,0.12,nearest_place,,,,,Wright,WY,Campbell County,82732,US,TIGER/Line® dataset from the US Census Bureau
123,2021,"EXPRESS HOLDINGS (USA), LLC",42.22516,-104.691766,CRUDE OIL,0.4,,0.4,NO,,NO,,NO,MATERIAL OTHER THAN CARBON STEEL,LEAK,SEAL OR PACKING,42.226619,-104.69159,0.97,nearest_street,174,Tank Farm Rd,,,Guernsey,WY,Platte County,82214,US,TIGER/Line® dataset from the US Census Bureau
182,2020,BELLE FOURCHE PIPELINE CO,43.954352,-104.392728,CRUDE OIL,12.0,,12.0,NO,,NO,,NO,CARBON STEEL,LEAK,SEAL OR PACKING,43.953831,-104.393852,0.99,rooftop,3611,Hwy 16,,,Newcastle,WY,Weston County,82701,US,Statewide
206,2020,BELLE FOURCHE PIPELINE CO,44.311532,-105.247513,CRUDE OIL,125.0,,125.0,NO,,NO,,YES,CARBON STEEL,RUPTURE,,44.310773,-105.249504,0.99,rooftop,25,Rustic Hills Rd,,,Rozet,WY,Campbell County,82727,US,Statewide
209,2020,"HOLLY ENERGY PARTNERS - OPERATING, L.P.",41.56763,-109.98044,CRUDE OIL,7.0,,7.0,NO,,NO,,YES,CARBON STEEL,LEAK,OTHER,41.57348,-109.98128,0.94,nearest_street,266,Old Little America Rd,,,Granger,WY,Sweetwater County,82934,US,TIGER/Line® dataset from the US Census Bureau
231,2020,"EXPRESS HOLDINGS (USA), LLC",42.750975,-105.613738,CRUDE OIL,0.36,,0.36,NO,,NO,,NO,CARBON STEEL,LEAK,CONNECTION FAILURE,42.750589,-105.61485,0.98,nearest_street,314,County Rd 13,,,Douglas,WY,Converse County,82633,US,TIGER/Line® dataset from the US Census Bureau
237,2020,"MAGELLAN PIPELINE COMPANY, LP",41.107091,-104.833188,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,0.12,,0.12,NO,,NO,,NO,MATERIAL OTHER THAN CARBON STEEL,LEAK,SEAL OR PACKING,41.107199,-104.833211,1.0,rooftop,1112,S Parsley Blvd,,,Cheyenne,WY,Laramie County,82007,US,Laramie
324,2020,"CASPER CRUDE TO RAIL, LLC",42.86661,-106.412204,CRUDE OIL,4.0,,4.0,NO,,NO,,NO,MATERIAL OTHER THAN CARBON STEEL,LEAK,SEAL OR PACKING,42.867935,-106.411989,0.99,rooftop,5920,Yellowstone Hwy,,,Casper,WY,Natrona County,82604,US,Natrona
328,2020,"HOLLY ENERGY PARTNERS - OPERATING, L.P.",41.56763,-109.98044,CRUDE OIL,10.0,,5.0,NO,,NO,,YES,MATERIAL OTHER THAN CARBON STEEL,LEAK,CONNECTION FAILURE,41.57348,-109.98128,0.94,nearest_street,266,Old Little America Rd,,,Granger,WY,Sweetwater County,82934,US,TIGER/Line® dataset from the US Census Bureau
