IYEAR,NAME,LOCATION_LATITUDE,LOCATION_LONGITUDE,COMMODITY_RELEASED_TYPE,SHUTDOWN_DUE_ACCIDENT_IND,MATERIAL_INVOLVED,RELEASE_TYPE
2021,ENTERPRISE CRUDE PIPELINE LLC,28.94625,-95.42365,CRUDE OIL,NO,CARBON STEEL,LEAK
2021,PERMIAN EXPRESS PARTNERS LLC,29.989279,-94.002547,CRUDE OIL,YES,CARBON STEEL,LEAK
2021,"ROSE ROCK MIDSTREAM OPERATING, LLC",35.927207,-96.760283,CRUDE OIL,YES,2021,RUBBER
2021,EXXONMOBIL PIPELINE CO,29.8431583,-95.2308028,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,YES,CARBON STEEL,RUPTURE
2021,"DELEK CRUDE LOGISTICS, LLC.",32.47973,-94.83668,CRUDE OIL,YES,CARBON STEEL,OVERFILL OR OVERFLOW
2021,ENTERPRISE PRODUCTS OPERATING LLC,36.182675,-102.05046,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,YES,MATERIAL OTHER THAN CARBON STEEL,LEAK
2021,"MAGELLAN CRUDE OIL PIPELINE COMPANY, L.P.",29.797146,-95.279005,CRUDE OIL,NO,MATERIAL OTHER THAN CARBON STEEL,LEAK
2021,"MEDALLION OPERATING COMPANY, LLC",31.85689,-101.430095,CRUDE OIL,NO,CARBON STEEL,LEAK
2021,SUNOCO PARTNERS MARKETING & TERMINALS LP,29.992544,-93.992222,CRUDE OIL,NO,CARBON STEEL,OTHER
2021,TORRANCE PIPELINE COMPANY LLC,33.804229,-118.28371,CRUDE OIL,NO,CARBON STEEL,LEAK
2021,PHILLIPS 66 PIPELINE LLC,29.7188,-95.17722,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,YES,CARBON STEEL,LEAK
2021,DCP MIDSTREAM,29.133392,-95.803825,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,YES,MATERIAL OTHER THAN CARBON STEEL,LEAK
2021,ENTERPRISE CRUDE PIPELINE LLC,31.4331,-102.4379,CRUDE OIL,YES,CARBON STEEL,LEAK
