,state,number of incidents,net spill
0,TX,1727,427608.94999999995
1,OK,379,162730.29999999996
2,LA,285,126981.93999999999
3,CA,239,46118.95
4,KS,202,43688.75
5,IL,170,36108.92
6,NJ,144,29244.489999999994
7,WY,141,28396.62
8,NM,116,22643.179999999997
9,ND,89,21333.440000000002
10,IN,85,14958.850000000002
11,MN,76,9708.150000000001
12,OH,72,8829.880000000001
13,IA,61,8190.66
14,PA,60,7586.509999999999
15,MO,57,6602.740000000001
16,MS,53,6336.490000000001
17,MI,50,5361.83
18,MT,48,5234.259999999998
19,CO,47,5199.65
20,WI,38,5134.9800000000005
21,AL,30,4545.410000000001
22,NE,29,4166.88
23,AR,28,3610.17
24,VA,27,3150.61
25,GA,24,2892.12
26,NC,22,2237.0
27,KY,20,1584.29
28,SC,19,1440.5599999999997
29,SD,15,1119.0
30,NY,15,820.8099999999998
31,TN,13,790.3
32,WA,12,482.0
33,FL,12,310.48
34,MD,11,304.0
35,AK,10,285.71
36,UT,9,272.1
37,OR,8,181.10999999999999
38,HI,7,81.4
39,ID,6,53.51999999999999
40,WV,4,52.0
41,CT,2,50.21
42,MA,2,26.0
43,ME,2,15.190000000000001
44,MB,1,0.0
45,PR,1,0.0
46,NV,1,0.0
