,PIPE LINE OPERATOR,INCIDENT,PROPERTY DAMAGE COST
0,ENTERPRISE CRUDE PIPELINE LLC,319,29632944.0
1,ENTERPRISE PRODUCTS OPERATING LLC,254,38232652.0
2,SUNOCO PIPELINE L.P.,239,12806907.0
3,"PLAINS PIPELINE, L.P.",234,16855003.0
4,"MAGELLAN PIPELINE COMPANY, LP",209,7894714.0
5,COLONIAL PIPELINE CO,198,30947695.0
6,"BUCKEYE PARTNERS, LP",167,16904433.0
7,"KINDER MORGAN LIQUID TERMINALS, LLC",147,17014691.0
8,PHILLIPS 66 PIPELINE LLC,140,7557823.0
9,MARATHON PIPE LINE LLC,120,20304732.0
10,"ENBRIDGE ENERGY, LIMITED PARTNERSHIP",99,13964778.0
11,"ONEOK NGL PIPELINE, LLC",92,2300180.0
12,"SHELL PIPELINE CO., L.P.",88,27941309.0
13,EXXONMOBIL PIPELINE CO,77,9088073.0
14,EXPLORER PIPELINE CO,65,2893454.0
15,DCP MIDSTREAM,55,3152857.0
16,"MAGELLAN TERMINALS HOLDINGS, LP",49,1951576.0
17,"SFPP, LP",47,3184547.0
18,NUSTAR PIPELINE OPERATING PARTNERSHIP L.P.,46,2409666.0
19,"HOLLY ENERGY PARTNERS - OPERATING, L.P.",45,1370997.0
20,PLANTATION PIPE LINE CO,44,3798826.0
21,CENTURION PIPELINE L.P.,41,1512673.0
22,JAYHAWK PIPELINE LLC,40,200970.0
23,CHEVRON PIPE LINE CO,40,10644488.0
24,"MAGELLAN AMMONIA PIPELINE, L.P.",40,1609234.0
25,WEST TEXAS GULF PIPELINE CO,39,864474.0
26,ONEOK NGL PIPELINE LP,39,2616339.0
27,"KOCH PIPELINE COMPANY, L.P.",38,7547640.0
28,MID - VALLEY PIPELINE CO,38,1255762.0
29,WYOMING PIPELINE COMPANY,35,145318.0
30,ENERGY TRANSFER COMPANY,35,4107834.0
31,CONOCOPHILLIPS,34,3386575.0
32,ROSE ROCK MIDSTREAM L.P.,32,267405.0
33,SUNOCO PARTNERS MARKETING & TERMINALS LP,30,106032.0
34,"PLAINS MARKETING, L.P.",30,679638.0
35,"NUSTAR LOGISTICS, L.P.",28,2977095.0
36,KINDER MORGAN CO2 CO. LP,27,452362.0
37,TC OIL PIPELINE OPERATIONS INC,24,11304729.0
38,ENBRIDGE STORAGE (CUSHING) L.L.C.,22,701187.0
39,"EXPRESS HOLDINGS (USA), LLC",21,1006258.0
40,BELLE FOURCHE PIPELINE CO,20,605723.0
41,"MAGELLAN CRUDE OIL PIPELINE COMPANY, L.P.",20,538968.0
42,HARVEST PIPELINE COMPANY,19,3805917.0
43,"MEDALLION OPERATING COMPANY, LLC",18,46505.0
44,ENBRIDGE PIPELINES (OZARK) L.L.C.,17,7945050.0
45,"FLINT HILLS RESOURCES, LC",16,901376.0
46,WEST SHORE PIPELINE CO,16,1367944.0
47,TORRANCE VALLEY PIPELINE COMPANY LLC,15,319675.0
48,"BKEP PIPELINE, LLC",15,74887.0
49,BP PIPELINE (NORTH AMERICA) INC.,15,4934002.0
50,"CCPS TRANSPORTATION, LLC",15,188005.0
51,ENBRIDGE PIPELINES (NORTH DAKOTA) LLC,14,1698824.0
52,TESORO HIGH PLAINS PIPELINE COMPANY LLC,14,287847.0
53,KINDER MORGAN WINK PIPELINE LLC,14,192628.0
54,"DAPL-ETCO OPERATIONS MANAGEMENT, LLC",13,29862.0
55,CENEX PIPELINE LLC,13,110047.0
56,"CHAPARRAL ENERGY, LLC",13,105525.0
57,"NUSTAR PERMIAN TRANSPORTATION AND STORAGE, LLC",13,18102.0
58,CRIMSON PIPELINE L.P.,12,2395024.0
59,IMTT-BAYONNE,12,166346.0
60,SINCLAIR TRANSPORTATION COMPANY,12,91190.0
61,PERMIAN EXPRESS PARTNERS LLC,12,177700.0
62,MOBIL CORP,12,305621.0
63,WILLIAMS FIELD SERVICES,12,1884900.0
